NAA [mol], NM [mol], NW [mol], QCat [mL], T [C]
11.5,5.77,6,7.5,80
9.19,10.79,2.04,5.85,66.55
13.8,4.26,2.04,5.85,66.55
9.19,7.27,9.95,5.85,66.55
13.8,0.75,9.95,5.85,66.55
9.19,10.79,2.04,9.14,66.55
13.8,4.26,2.04,9.14,66.55
9.19,7.27,9.95,9.14,66.55
13.8,0.75,9.95,9.14,66.55
8,10.72,6,7.5,48.62
15,0.82,6,7.5,48.62
11.5,8.44,0,7.5,48.62
11.5,3.1,12,7.5,48.62
11.5,5.77,6,5,48.62
11.5,5.77,6,10,48.62
12,4.621,7,7,65
11,5.154,9,6,70
9.19,10.79,2.04,5.85,66.55
10,5.67,11,5,50
12.5,5.24,4,5,55
11.5,5.77,6,7.5,60
11.5,5.77,6,10,65
9.19,10.79,2.04,7.98,55.11
9.19,10.79,2.04,7.98,74.88
13.8,4.26,2.04,7.98,55.11
13.8,4.26,2.04,7.98,74.88
9.19,7.27,9.95,7.98,55.11
9.19,7.27,9.95,7.98,74.88
13.8,0.75,9.95,7.98,55.11
13.8,0.75,9.95,7.98,74.88
11.5,5.77,6,5.29,50
11.5,5.77,6,5.29,80
8,10.72,6,5.29,65
15,0.82,6,5.29,65
11.5,8.44,0,5.29,65
11.5,3.1,12,5.29,65
11.5,5.77,6,7,65
